,hippieName
SPHK1_HUMAN,1
IL16_HUMAN,1
PFD2_HUMAN,1
CANT1_HUMAN,1
R3HD2_HUMAN,1
PCDBF_HUMAN,1
RBM48_HUMAN,1
RNAS1_HUMAN,1
SMTL1_HUMAN,1
LDH6B_HUMAN,1
PLCG2_HUMAN,1
AN33B_HUMAN,1
SPIC_HUMAN,1
UD2A3_HUMAN,1
GDNF_HUMAN,1
WDR69_HUMAN,1
FOXA2_HUMAN,1
ZA2G_HUMAN,1
GATA5_HUMAN,1
SYLC_HUMAN,1
RO52_HUMAN,1
DOK2_HUMAN,1
ZGPAT_HUMAN,1
SOGA1_HUMAN,1
MAPK3_HUMAN,1
TTBK2_HUMAN,1
TRI37_HUMAN,1
KIF1B_HUMAN,1
CP2C9_HUMAN,1
CY24A_HUMAN,1
CHMP7_HUMAN,1
ANGL1_HUMAN,1
DNAI2_HUMAN,1
HPCL4_HUMAN,1
GPC4_HUMAN,1
SACA4_HUMAN,1
FA32A_HUMAN,1
Z585B_HUMAN,1
NXPH1_HUMAN,1
ARSA_HUMAN,1
5HT3A_HUMAN,1
PP6R1_HUMAN,1
FA60A_HUMAN,1
FGD4_HUMAN,1
THIM_HUMAN,1
ZN672_HUMAN,1
KRT86_HUMAN,1
ZFX_HUMAN,1
ABI3_HUMAN,1
YBOX2_HUMAN,1
MFAP4_HUMAN,1
CHTOP_HUMAN,1
CA129_HUMAN,1
TB182_HUMAN,1
EX3L2_HUMAN,1
PCDA7_HUMAN,1
SHP1L_HUMAN,1
UST_HUMAN,1
ZFP41_HUMAN,1
DNER_HUMAN,1
EOMES_HUMAN,1
BRI3_HUMAN,1
PPID_HUMAN,1
ATPA_HUMAN,1
MTCH2_HUMAN,1
PHS_HUMAN,1
IGHD_HUMAN,1
SLFN5_HUMAN,1
WRB_HUMAN,1
GTR6_HUMAN,1
ACHA2_HUMAN,1
SYTC2_HUMAN,1
SC5A8_HUMAN,1
FNDC5_HUMAN,1
MYH10_HUMAN,1
CADH3_HUMAN,1
LIAS_HUMAN,1
TM115_HUMAN,1
ACTG_HUMAN,1
UBP8_HUMAN,1
IP3KB_HUMAN,1
K2C73_HUMAN,1
RS18_HUMAN,1
MLL2_HUMAN,1
ACE_HUMAN,1
RSLBA_HUMAN,1
MAD4_HUMAN,1
LRIQ3_HUMAN,1
PKHH3_HUMAN,1
RN19A_HUMAN,1
THADA_HUMAN,1
XKR5_HUMAN,1
PAPD7_HUMAN,1
UBC9_HUMAN,1
CC062_HUMAN,1
SYTL1_HUMAN,1
CA043_HUMAN,1
G3P_HUMAN,1
SF3B5_HUMAN,1
ZFP42_HUMAN,1
P2R3A_HUMAN,1
EDAD_HUMAN,1
ICAM1_HUMAN,1
KAT7_HUMAN,1
EMAL4_HUMAN,1
NELFD_HUMAN,1
IRGM_HUMAN,1
CXCL5_HUMAN,1
SAC2_HUMAN,1
CB039_HUMAN,1
ACTH_HUMAN,1
DSCR8_HUMAN,1
PHF1_HUMAN,1
PRAM5_HUMAN,1
GELS_HUMAN,1
TXD16_HUMAN,1
AFG32_HUMAN,1
ZN577_HUMAN,1
SE1L1_HUMAN,1
TFCP2_HUMAN,1
MIME_HUMAN,1
DDX50_HUMAN,1
RASD1_HUMAN,1
NDUB5_HUMAN,1
MOT10_HUMAN,1
AL1L2_HUMAN,1
GP183_HUMAN,1
PAK6_HUMAN,1
DEN2A_HUMAN,1
