v1	ppiDB1	v2	ppiDB2	label	set
84069	4804	6925	5961	1	Seen
84069	4804	7185	13651	1	Seen
65220	14400	6386	1253	1	One Unseen
64802	3569	64802	3569	1	Unseen
64802	3569	3838	4862	1	One Unseen
6723	4449	6723	4449	1	Seen
55092	14462	10488	11820	1	One Unseen
842	18677	329	8928	1	Unseen
22977	7145	22977	7145	1	Seen
8574	19678	22977	7145	1	One Unseen
978	5659	978	5659	1	Seen
2582	242	2582	242	1	Unseen
7780	2462	5817	12957	1	Seen
7780	2462	6351	15587	1	Seen
54797	20472	9477	4295	1	One Unseen
200081	2670	1838	19974	1	Seen
200081	2670	8687	3703	1	One Unseen
200081	2670	10403	2574	1	Seen
200081	2670	24144	5115	1	Seen
200081	2670	51019	3896	1	One Unseen
2275	19329	2624	22056	1	Seen
84618	6457	55093	10502	1	One Unseen
8503	6495	84456	11662	1	Seen
541468	2956	80764	1160	1	One Unseen
1031	10145	1019	16355	1	Unseen
1031	10145	1021	8094	1	Unseen
1031	10145	6925	5961	1	One Unseen
26994	19545	51619	8896	1	Seen
9372	11608	4088	3739	1	One Unseen
388633	9013	10490	7626	1	One Unseen
51361	4655	24144	5115	1	One Unseen
8317	324	10926	21299	1	One Unseen
8412	19694	8412	19694	1	Seen
2949	502	2947	13050	1	Seen
2947	13050	2947	13050	1	Seen
10100	5893	10488	11820	1	One Unseen
9659	0	6386	1253	1	One Unseen
9659	0	9724	4288	1	Seen
9659	0	22919	20323	1	One Unseen
388677	21319	2624	22056	1	One Unseen
388677	21319	5817	12957	1	One Unseen
388677	21319	5866	16574	1	Unseen
388677	21319	6615	6208	1	Unseen
388677	21319	10252	5516	1	One Unseen
388677	21319	54544	1720	1	Unseen
388677	21319	57088	10915	1	One Unseen
388677	21319	80764	1160	1	One Unseen
388677	21319	353132	15460	1	One Unseen
5565	20294	1406	10864	1	One Unseen
79005	20571	8687	3703	1	One Unseen
79005	20571	388324	3404	1	One Unseen
8991	11818	9319	17811	1	One Unseen
54544	1720	388677	21319	1	Unseen
353132	15460	3198	6373	1	Seen
353132	15460	388677	21319	1	One Unseen
353132	15460	8601	12889	1	Seen
353132	15460	83897	16356	1	Seen
57459	12098	7185	13651	1	Seen
2224	18959	10488	11820	1	Unseen
84283	14307	6440	0	1	One Unseen
84283	14307	9025	16448	1	Unseen
5824	13960	8504	20852	1	One Unseen
6258	16073	5914	16076	1	Seen
6258	16073	5915	15774	1	Seen
375035	19763	10488	11820	1	Unseen
8548	21085	5565	20294	1	One Unseen
2328	18713	10488	11820	1	Unseen
2752	11484	2752	11484	1	Unseen
4688	20617	22920	21212	1	Seen
4656	9166	4292	8642	1	One Unseen
4656	9166	121457	9342	1	Seen
4656	9166	2512	2150	1	One Unseen
343035	14956	1967	5359	1	One Unseen
56997	19456	24144	5115	1	One Unseen
51127	8283	56658	16039	1	One Unseen
22796	7473	23281	2852	1	Seen
3775	5569	10488	11820	1	Unseen
9453	680	9453	680	1	Seen
88	15643	88	15643	1	Seen
88	15643	6615	6208	1	One Unseen
163882	22478	54763	17597	1	Seen
1788	2410	8115	9609	1	One Unseen
1838	19974	7186	12713	1	One Unseen
1838	19974	221504	5903	1	Seen
64080	15426	64080	15426	1	Seen
9577	18686	29086	1033	1	One Unseen
79833	20437	79760	15958	1	Seen
64395	0	4281	12515	1	Seen
64395	0	8452	19436	1	Seen
64395	0	83648	13989	1	One Unseen
