v1	v2	label
84069	7185	1
65220	6386	1
64802	64802	1
64802	3838	1
6723	6723	1
55092	10488	1
22977	22977	1
8574	22977	1
978	978	1
2582	2582	1
7780	5817	1
7780	6351	1
54797	9477	1
200081	1838	1
200081	8687	1
200081	51019	1
2275	2624	1
84618	55093	1
541468	80764	1
1031	1019	1
1031	1021	1
26994	51619	1
388633	10490	1
2949	2947	1
2947	2947	1
10100	10488	1
388677	2624	1
388677	5817	1
388677	5866	1
388677	6615	1
388677	10252	1
388677	54544	1
388677	57088	1
388677	80764	1
388677	353132	1
5565	1406	1
79005	8687	1
79005	388324	1
8991	9319	1
54544	388677	1
353132	3198	1
353132	388677	1
353132	8601	1
353132	83897	1
57459	7185	1
2224	10488	1
84283	6440	1
84283	9025	1
5824	8504	1
6258	5914	1
6258	5915	1
375035	10488	1
8548	5565	1
2328	10488	1
2752	2752	1
4656	121457	1
4656	2512	1
343035	1967	1
51127	56658	1
3775	10488	1
9453	9453	1
1838	7186	1
1838	221504	1
64080	64080	1
9577	29086	1
79833	79760	1
64395	83648	1
64395	170626	1
9027	10488	1
10617	9319	1
150483	4103	1
150483	5914	1
25972	10488	1
2274	54971	1
2274	55802	1
2274	80212	1
2274	388324	1
8440	8045	1
90557	23281	1
151531	151531	1
25801	4107	1
26003	1808	1
26003	1967	1
26003	11144	1
26003	91703	1
26003	10935	1
1123	8440	1
1123	51409	1
10477	56658	1
60491	5987	1
60491	8601	1
60491	60491	1
151194	63920	1
29926	29925	1
5915	6258	1
91392	7185	1
10293	10982	1
51409	1123	1
95	95	1
55802	2274	1
50650	5987	1
11170	7186	1
2272	2272	1
3059	63898	1
54763	79165	1
28999	5565	1
2624	2275	1
57088	23281	1
57088	388677	1
7104	10488	1
286827	10490	1
10195	10488	1
55646	27111	1
55286	11235	1
92689	51324	1
53371	9818	1
53371	23636	1
10098	10488	1
56898	56898	1
839	839	1
817	817	1
817	10126	1
817	54971	1
817	65003	1
10252	388677	1
132321	9319	1
2993	10488	1
11275	51060	1
11275	11275	1
11275	163071	1
11199	80153	1
9319	10617	1
635	635	1
84654	1838	1
7518	7518	1
345757	10488	1
63920	151194	1
85007	85007	1
5601	1386	1
2762	2762	1
9247	1406	1
9247	2275	1
51053	51053	1
387032	7572	1
5987	2275	1
5987	4938	1
4049	10488	1
7918	5987	1
7920	10488	1
5252	51171	1
221504	1838	1
578	598	1
29993	29993	1
222662	10488	1
1026	595	1
1026	5111	1
1026	896	1
55633	22806	1
9477	54797	1
896	1019	1
896	1021	1
896	1026	1
27232	27232	1
27232	55093	1
7180	10488	1
9457	10126	1
9457	80256	1
57120	57120	1
2697	10488	1
3298	23281	1
3298	23636	1
8504	5824	1
5689	3860	1
5689	5987	1
5689	7185	1
60	60	1
3198	2896	1
3198	8601	1
51619	27246	1
5723	5723	1
5723	6464	1
435	435	1
8468	80279	1
84277	10488	1
1021	1031	1
1021	1032	1
440	140691	1
51024	10488	1
835	835	1
27010	27010	1
7516	5892	1
66036	4342	1
83648	64395	1
640	10278	1
29883	10140	1
63898	23641	1
6440	6440	1
6440	84283	1
10687	6386	1
1808	1808	1
1808	26003	1
4342	10241	1
4342	66036	1
6386	874	1
6386	2495	1
2669	23281	1
2669	23641	1
4956	23281	1
55093	60	1
55093	978	1
55093	1967	1
55093	2495	1
55093	4282	1
55093	4830	1
55093	27232	1
55093	51074	1
55093	51171	1
55093	54472	1
55093	114824	1
55093	256281	1
79792	200845	1
51160	7251	1
65265	23641	1
158297	2274	1
158297	2275	1
84904	10241	1
10488	598	1
10488	638	1
10488	2328	1
10488	2697	1
10488	2993	1
10488	3775	1
10488	4049	1
10488	9027	1
10488	9445	1
10488	10100	1
10488	10159	1
10488	10490	1
10488	54708	1
10488	55454	1
10488	66002	1
10488	79415	1
10488	81855	1
10488	92960	1
10488	222662	1
10488	345757	1
8789	8789	1
8789	2203	1
2203	2203	1
2203	8789	1
7185	7186	1
92399	5987	1
23099	7186	1
7186	7185	1
7186	7186	1
27158	57019	1
27158	80125	1
27158	23281	1
27158	84260	1
84991	55165	1
80013	5886	1
55454	10488	1
220965	374355	1
311	55165	1
54708	10488	1
55165	311	1
55165	84285	1
55165	84991	1
55165	51019	1
55165	55165	1
9124	2670	1
51013	56915	1
81855	10488	1
374355	84260	1
374355	220965	1
10935	26003	1
6050	6386	1
8045	8440	1
23647	23647	1
3611	5987	1
3939	3939	1
7490	125115	1
51074	51074	1
51074	55093	1
84680	84680	1
29763	29993	1
5866	5866	1
2495	2495	1
2495	2512	1
2495	6386	1
2495	55093	1
26580	26580	1
254187	23281	1
84285	55165	1
65003	817	1
91703	26003	1
91703	91703	1
595	1019	1
8772	8772	1
3846	353132	1
414301	60491	1
414301	414301	1
120379	2670	1
5805	5805	1
5805	55093	1
5805	6386	1
51267	10488	1
1027	7186	1
113251	1406	1
3853	8687	1
338785	3860	1
338785	3884	1
338785	8687	1
10193	10193	1
506	91647	1
1019	595	1
1019	896	1
1019	1031	1
196477	388677	1
121457	4656	1
51019	200081	1
4598	4598	1
84260	5987	1
4938	5987	1
113675	113675	1
160777	23281	1
79720	51160	1
1967	1967	1
80212	2274	1
221150	220134	1
9818	7185	1
9818	23636	1
23281	5866	1
23281	6615	1
23281	6723	1
23281	57088	1
23281	79673	1
23281	80256	1
23281	80764	1
23281	112858	1
23281	254187	1
11340	56915	1
2098	2098	1
9445	10488	1
115761	9319	1
91875	817	1
57820	57820	1
4860	4860	1
10668	10488	1
3958	3958	1
10490	10488	1
10490	388633	1
78990	23201	1
8115	10241	1
51550	8548	1
256281	256281	1
23582	7138	1
23582	80764	1
23582	84645	1
23582	112858	1
23582	126003	1
23582	339345	1
6652	6652	1
51324	7186	1
4088	4089	1
4088	80125	1
80125	640	1
80125	4088	1
80125	5565	1
80153	80153	1
342132	23641	1
146540	23281	1
23568	402	1
57019	27158	1
6898	6898	1
54971	817	1
54971	5565	1
388324	1032	1
388324	2274	1
112483	112483	1
64518	10241	1
642	642	1
642	55093	1
5892	22806	1
5892	7516	1
6351	7780	1
22806	1032	1
22806	5565	1
