,hippieName,entry,geneID
0,DAPAL_HUMAN,Q86XE5,112817;
1,HOGA1_HUMAN,Q86XE5,112817;
2,HTRB2_HUMAN,Q7Z745,133558;
3,YE013_HUMAN,Q7Z745,133558;
4,C1T9A_HUMAN,P0C862,338872;
5,C1QT9_HUMAN,P0C862,338872;
6,BICR1_HUMAN,Q6ZP65,92558;
7,CC64A_HUMAN,Q6ZP65,92558;
8,NANGN_HUMAN,Q7Z5D8,360030;
9,HPC14_HUMAN,Q7Z5D8,360030;
10,PRS38_HUMAN,A1L453,339501;
11,MPN2_HUMAN,A1L453,339501;
12,AP5M1_HUMAN,Q9H0R1,55745;
13,MUDEN_HUMAN,Q9H0R1,55745;
14,F71E2_HUMAN,Q8N5Q1,284418;
15,YS038_HUMAN,Q8N5Q1,284418;
16,EOGT_HUMAN,Q5NDL2,285203;
17,AER61_HUMAN,Q5NDL2,285203;
18,COXAM_HUMAN,Q7Z7K0,152100;
19,COXM1_HUMAN,Q7Z7K0,152100;
20,SWI5_HUMAN,Q1ZZU3,375757;
21,CI119_HUMAN,Q1ZZU3,375757;
22,CJ131_HUMAN,Q6DHV5,387707;
23,C2D2B_HUMAN,Q6DHV5,387707;
24,F218A_HUMAN,Q96MZ4,
25,CD039_HUMAN,Q96MZ4,
26,POC1A_HUMAN,Q8NBT0,25886;
27,WD51A_HUMAN,Q8NBT0,25886;
28,CA062_HUMAN,Q5T1N1,254268;
29,AKND1_HUMAN,Q5T1N1,254268;
30,F204A_HUMAN,Q9H8W3,63877;
31,CJ084_HUMAN,Q9H8W3,63877;
32,CI102_HUMAN,Q5T890,375748;
33,RAD26_HUMAN,Q5T890,375748;
34,BEAN1_HUMAN,Q3B7T3,146227;
35,BEAN_HUMAN,Q3B7T3,146227;
36,SL9C1_HUMAN,Q4G0N8,285335;
37,S9A10_HUMAN,Q4G0N8,285335;
38,F200A_HUMAN,Q8TCP9,221786;
39,CG038_HUMAN,Q8TCP9,221786;
40,TEX33_HUMAN,O43247,339669;
41,EAN57_HUMAN,O43247,339669;
42,F203A_HUMAN,Q9BTY7,51236;
43,F203B_HUMAN,Q9BTY7,51236;
44,CG046_HUMAN,A4D161,340277;
45,F221A_HUMAN,A4D161,340277;
46,RS17L_HUMAN,P08708,6218;
47,RS17_HUMAN,P08708,6218;
48,CQ037_HUMAN,Q9BRT3,84299;
49,MIEN1_HUMAN,Q9BRT3,84299;
50,RUAS1_HUMAN,Q66K80,
51,CA104_HUMAN,Q66K80,
52,ZF64A_HUMAN,Q9NTW7,55734;
53,ZF64B_HUMAN,Q9NTW7,55734;
