yourlist	Entry
91694	Q17RB8
56906	Q9P2Z0
3163	P30519
57573	Q9BX82
51310	Q8WUG5
644	P53004
222894	Q96RJ6
29844	P0C1Z6
11043	Q9UJV3
94107	Q969S6
7448	P04004
79778	Q8IY33
8233	Q15696
4739	Q14511
1146	P07510
5296	O00459
8976	O00401
5359	O15162
90933	Q8WV44
84656	Q49A26
79635	Q6ZUS5
286514	Q96M61
2237	P39748
4184	P49901
4234	Q9UBP6
664	Q12983
79666	Q9H8W4
10083	Q9Y6N9
2801	Q08379
86614	Q96LI6
79152	Q7L5A8
8907	Q9BXS5
8498	Q9H6Z4
4800	P23511
6303	P21673
203068	P07437
10762	Q9UKX7
25901	Q8IWP9
655	P18075
1447	P05814
3728	P14923
11100	Q9BUJ2
58500	P15622
146664	Q3V5L5
5862	P61019
1977	P06730
5682	P25786
5733	P43115
51421	Q9Y2J4
9099	O75604
29035	Q14CZ0
79637	Q9H6L4
79753	Q8TAD8
79682	Q71F23
54810	Q8TF65
4615	Q99836
132204	Q8TBG9
54870	Q2TAL8
57381	Q9H4E5
10742	Q9Y5P3
29911	Q96ED9
26269	Q9NRD0
51118	Q9Y3A2
286499	Q8N9E0
7170	P06753
64102	Q9H2S6
91369	Q6AI12
80314	Q9H2F5
116173	Q96DZ9
1409	A0A140G945
1409	P02489
137209	Q7Z3I7
10069	P57060
51668	Q9Y547
89885	Q969F0
124460	Q7Z614
3049	P09105
84332	Q96IM9
54925	Q9NX65
4241	P08582
407	P36575
54069	Q9NYP9
9474	Q9H1Y0
79090	O75865
57684	Q9HCK0
10946	Q12874
162333	Q8NA82
10781	Q14584
572	Q92934
2534	P06241
1153	Q14011
3276	Q99873
441521	P0DMU7
441521	P0DMU8
441521	P0DMV0
8851	Q15078
9844	Q92556
7329	P63279
83461	Q99618
9531	O95817
9747	Q9Y4C2
8428	Q9Y6E0
10361	Q86SE8
27040	O43561
10921	Q15287
4212	O14770
55109	Q8N302
23503	Q68DK2
80342	Q9Y228
6271	P23297
998	P60953
3164	P22736
54902	Q6DKK2
114928	Q96D09
115106	Q96CS2
5940	P0DJD3
84950	Q8NAV1
8161	P38432
374659	Q8N4P3
9260	Q9NR12
10475	O00635
60343	P98173
9841	O43167
90594	Q8NDP4
11094	Q9UGQ2
147700	Q6P597
353145	Q5T5B0
83594	Q9BQG2
23594	Q9Y5N6
8260	P41227
9404	O60711
83606	Q96NT3
7301	Q06418
10562	Q6UX06
9473	Q5TEJ8
23059	Q96AJ1
79618	Q6NT76
84296	Q9BRT9
8522	O60861
5634	P11908
84934	Q96K30
121536	Q6ZN18
11091	P61964
148103	Q96NL3
27343	Q9UGP5
271	Q01433
6619	Q92966
220108	Q86V42
219736	Q6ZVD7
8543	P61968
9885	Q9H1P3
147744	Q8WZ59
55030	Q9NWN3
51027	Q9Y3E2
8350	P68431
287015	Q8IWZ5
55145	Q9NVV9
89797	Q8IVL1
1408	Q49AN0
3881	Q15323
8318	O75419
9240	Q8ND90
283576	Q8N966
84816	Q8WWV3
5837	P11217
84445	Q9BRK4
8825	O14910
55138	Q86YD7
27130	Q9Y283
57639	Q8IYE0
23786	Q9BXK5
54108	Q9NRG0
7541	O43829
6921	Q15369
4176	P33993
10190	O14530
8974	O15460
120534	Q8N8R7
10567	Q9UI14
10152	Q9NYB9
9871	O94855
9984	Q96FV9
1936	P29692
84528	Q9BQY4
2959	Q00403
26258	Q9UL45
23468	P45973
51368	Q9Y6I9
9791	P48651
51596	O60888
51517	Q9NZQ3
4835	P16083
8417	O15400
222389	Q8N7W2
6908	P20226
81565	Q9GZM8
50619	Q9H4E7
4105	P43360
54927	Q9NX63
6631	P09234
11180	Q9NNW5
9094	Q13432
5562	Q13131
9721	O60269
84936	Q96K21
2071	P19447
5050	Q15102
7415	P55072
119392	Q86XK3
23157	Q14141
7205	Q15654
84988	Q96I34
80254	Q96MT8
143241	Q8WWB3
51652	Q9Y3E7
54535	Q8TD31
84959	Q8TF42
22938	Q13573
81792	P58397
3162	P09601
408	P49407
53918	Q9BRX2
2810	P31947
23089	Q86TG7
163081	Q8N184
10342	Q92734
10539	O76003
9465	O43687
9465	Q9P0M2
126375	Q3KQV3
94101	Q9P0S3
9113	O95835
54107	Q9NRF9
84265	Q9BT43
3148	P26583
5058	Q13153
6048	Q99942
9702	Q86XR8
5350	P26678
90799	Q96GE4
7005	Q99594
10430	Q9BVK8
79718	Q9BZK7
9146	O14964
7083	P04183
154313	Q8IYR0
8887	Q86VP1
4665	Q15742
140462	Q96DX5
115265	Q96D03
79078	Q9BV19
1198	P49761
3399	Q02535
8575	O75569
10589	Q14919
23126	Q7Z3K3
51309	Q9P291
7574	P17031
3689	P05107
57142	Q9NQC3
65983	Q96HH9
55332	Q8N682
51100	Q9Y371
9413	Q15884
25793	Q9Y3I1
56181	Q9H019
10540	Q13561
7389	P06132
23204	Q15041
10169	P84101
892	P24863
8618	Q9ULU8
663	Q12982
55742	Q9NVD7
79169	Q9BU76
57542	Q9P2K6
1030	P42772
6913	Q96SF7
3646	P60228
9726	O15015
128178	Q8WWZ3
203054	Q3MIX3
4149	P61244
5859	P47897
51564	Q8WUI4
9246	O14933
56952	Q9NRG1
989	Q16181
26150	Q9H4K1
8540	O00116
25828	Q99757
9111	Q13287
122183	P86478
122183	P86479
122183	P86480
122183	P86481
122183	P86496
55266	Q96HH6
23543	O43251
158405	Q8N8K9
83695	Q9BSD3
85376	Q9UFD9
1070	O15182
1468	Q9UBX3
163183	Q8N205
9181	Q92974
9295	Q05519
10062	Q13133
54785	Q96GS4
64093	Q9H4F8
862	Q06455
55850	Q9NZ43
248	P09923
4670	P52272
8517	Q9Y6K9
51582	O14977
1781	Q13409
2104	P62508
79843	Q9H5Z6
9877	O75152
386676	P60411
51637	Q9Y224
11151	P31146
26121	Q8WWY3
2848	O00155
389119	Q96EL1
56063	Q8WY98
9873	O94868
166	Q08117
130540	Q96Q35
79616	Q8IV13
3725	P05412
386681	P60410
55668	Q9NWQ4
4780	Q16236
8502	Q99569
29115	Q9UHR5
894	P30279
23710	Q9H0R8
22934	P49247
5413	Q99719
92840	Q96HR9
7276	P02766
7106	O14817
11266	Q9UNI6
60370	Q5T686
10640	O00471
627	P23560
3866	P19012
386682	P60369
56647	Q9P287
11075	Q93045
9725	O94886
84661	Q9C005
90427	Q96LC9
57132	Q7LBR1
55319	Q96EY4
8379	Q9Y6D9
9729	Q6ZU52
50863	Q9P121
9632	P53992
22885	O94929
340542	Q5H9J7
57707	Q6P9B6
4108	P43362
5108	Q15154
79669	Q5BVD1
10783	Q9HC98
93210	Q96FM1
10286	O75934
931	P11836
246329	Q96MF2
4188	Q99750
6500	P63208
2355	P15408
27434	Q9NP87
10253	O43597
10574	Q99832
57403	Q9UL26
7004	Q15561
56896	Q9BPU6
63948	Q96MA1
79839	Q68D86
54959	A1E959
5753	Q13882
3281	O75506
2145	Q92800
9209	Q9Y608
129138	Q6NXT1
6867	O75410
64098	Q9HBI0
1600	O75553
79025	Q9BVV2
9337	Q9UFF9
158427	Q5T7W7
7341	P63165
9533	O15160
8934	O14966
7141	P09430
8434	O95980
153527	Q96NC0
23604	Q9UIK4
2941	O15217
54830	Q9H1M0
122786	Q96NE9
5699	P40306
64927	Q5W5X9
4879	P16860
362	P55064
79001	Q9BQB6
51778	Q9NPC6
55216	Q6ZUT1
79077	Q9H773
154075	Q8N6K7
2948	Q03013
9670	O94829
6431	Q13247
3957	P05162
386677	P60331
10313	O95197
8409	Q9UBK9
55888	Q9P0L1
83593	Q8WWW0
8766	P62491
9817	Q14145
79072	Q14CZ7
5092	P61457
7020	P05549
3801	Q9BVG8
64778	Q53EP0
4222	P50221
84830	Q96IZ2
79036	Q9BQD3
4236	P55081
25945	Q9NQS3
79768	Q9H079
283461	Q86WS4
29107	Q9UKK6
580	Q99728
23640	Q9NZL4
1917	Q05639
118812	Q8NDC4
114932	Q96HT8
10320	Q13422
54967	Q8WUE5
10093	P59998
373156	Q9Y2Q3
51701	Q9UBE8
7431	P08670
8553	O14503
9482	Q9UNK0
84557	Q9H492
5355	Q04941
7321	P51668
25930	Q9H3S7
200734	Q7Z698
1196	P49760
4004	P25800
54778	Q6ZNA4
8738	P78560
10667	O95363
51207	Q6B8I1
51207	Q9UII6
203245	Q69YI7
6884	Q15543
125058	Q8TBP0
51765	Q9P289
8878	Q13501
4005	P25791
9618	Q9BUZ4
118427	Q96PB7
1731	Q8WYJ6
55118	Q9NQ79
90410	Q8IY31
26277	Q9BSI4
10016	O75340
1974	Q14240
5991	P48380
5602	P53779
10447	Q92520
9524	Q9NZ01
23061	Q66K14
91746	Q96MU7
516	P05496
3927	Q14847
51760	Q9BSW7
92610	Q96CG3
84106	Q96QH2
84970	Q6P1W5
4437	P20585
60490	Q96CD2
84281	Q9BSF0
7597	P24278
10904	P62952
80108	Q6ZN57
58155	Q9UKA9
57642	Q9P218
54438	Q9NXC2
57595	Q76G19
11070	Q12893
2815	P14770
2014	P54852
55629	Q9NPJ4
2130	Q01844
57226	Q9NU23
4678	P49321
64753	Q96JN2
71	P63261
112399	Q9H6Z9
2067	P07992
6009	Q15382
57594	Q8IX15
2885	P62993
1041	Q15517
54550	Q7Z6G3
54900	Q8IWV1
714	P02747
55308	Q9NUU7
1173	Q96CW1
10363	Q9NP66
79873	Q6ZVK8
113878	Q86UW9
54531	Q8N344
2051	O15197
6342	P22307
81544	Q8WTR4
55916	Q9NPJ8
83638	Q9H3H3
54507	Q6UY14
5395	P54278
6759	O60224
825	P20807
3856	P05787
10868	Q9Y2K6
2686	Q9UJ14
26249	Q9UH77
29946	Q9UJW9
9112	Q13330
145282	Q8TD10
55726	Q9NVM9
83853	Q96C74
51377	Q9Y5K5
440023	Q6L8G9
10922	Q14296
1295	P27658
55660	O75400
5303	Q9Y237
51684	Q9UMX1
1809	Q14195
153643	Q96LP2
7284	P49411
79959	Q8TAP6
116832	Q96EH5
26240	Q9Y247
5607	Q13163
5966	Q04864
144165	Q96MT3
373	P36406
2790	P50151
597	Q16548
55037	Q96EY7
51265	Q8IVW4
8419	Q13515
8611	O14494
9958	Q9Y4E8
10204	P61970
3732	P27701
81631	Q9GZQ8
9643	Q15014
4110	P43364
1522	Q9UBR2
11051	O43809
10044	Q8N5H7
2030	Q99808
63027	A1A5C7
55530	Q8N4V2
10133	Q96CV9
10262	Q15427
6293	Q8N1B4
55272	Q9NV31
5204	Q99471
347	P05090
5375	P02689
10055	Q9UBE0
5264	O14832
7323	P61077
26984	Q96IW7
4818	Q16617
2958	P52657
3796	O00139
226	P04075
9587	Q15013
55122	Q53H80
7536	Q15637
51447	Q9UHH9
3880	P08727
57616	Q63HK5
3851	P19013
9636	P05161
93649	Q8IZQ8
6432	Q16629
9975	Q14995
54793	Q7L273
139596	Q96BW1
5700	P62191
6418	Q01105
112869	Q96ES7
9402	O75791
10928	Q15311
159163	Q15415
54552	Q9NVN8
10482	Q9UBU9
1069	P41208
1912	Q8IXK0
11270	Q8IXM6
127428	Q96MN5
2571	Q99259
9672	O75056
6605	Q969G3
11030	Q93062
51282	P57086
51076	Q9NTM9
7376	P55055
51148	Q5T4B2
54058	P58505
11269	Q9UMR2
23265	Q9UPT5
5427	P56282
11117	Q9Y6C2
5781	Q06124
30000	O14787
2786	P50150
6660	P35711
8760	O95674
85865	A4D1E9
9741	Q15012
81704	Q8NF50
1616	Q9UER7
8881	Q13042
5705	P62195
8815	O75531
10020	Q9Y223
55613	Q96EF0
10228	O43752
7681	Q13064
91544	Q5T124
409	P32121
4929	P43354
29761	Q9UHP3
10933	Q9UBU8
527	P27449
4111	P43365
386675	P60409
441150	Q5I0X4
10524	Q92993
4283	Q07325
150864	Q6P1L5
553115	Q9UBV8
79745	Q8N3C7
353141	Q5TA82
139341	Q8IVP5
55651	Q9NX24
81926	Q96GS6
660	P51813
55503	Q9H1D0
55284	Q96B02
80230	Q96T51
22800	P62070
55970	Q9UBI6
900	P51959
8796	O95171
220082	Q8NA61
7286	Q9NNX1
129049	Q2NKQ1
1039	Q01850
3050	P02008
55697	Q08AM6
3964	O00214
26128	Q96EK5
9470	O60573
170082	Q8N8B7
1327	P13073
25844	Q9GZM5
207	P31749
54828	Q9H6U6
699	O43683
56477	Q9NRJ3
8500	Q13136
9145	O43759
91404	Q86VW0
29068	Q8NCP5
22888	O94941
84873	Q96K78
85291	Q9BYR5
3670	P61371
10043	O60784
11143	O95251
55611	Q96FW1
51142	Q9Y6H1
55048	A5D8V6
87	P12814
3215	P09067
8065	Q93034
51699	Q9UBQ0
10445	Q96EZ8
10643	O00425
286075	Q96C28
6470	P34896
7024	Q12800
331	P98170
256646	Q86Y26
63908	Q9H115
51002	Q9Y3C4
4848	Q9NZN8
5152	O76083
284252	Q719H9
3987	P48059
11067	Q9NTK1
9832	Q96AA8
29922	Q9Y5B8
55663	Q9NWS9
11179	Q9NRM2
10906	O14545
6588	O00631
6820	O00204
80321	Q8NHQ1
5701	P35998
55007	Q9NWS6
5780	P43378
705	Q13895
5935	P98179
84975	Q6N075
170954	Q6NYC8
6285	P04271
255877	Q8N143
10248	O75817
573	Q99933
441519	Q8NHU0
6919	Q15560
3608	Q12905
9908	Q9UN86
57185	Q6P499
22890	Q9Y2K1
7851	Q13021
6449	O43765
3437	O14879
149371	Q8IYI6
6257	P28702
127703	Q8TAB5
4155	P02686
83463	Q9BW11
158787	Q8N443
81628	Q9Y3Q8
4118	P21145
6757	Q16385
57727	Q9HCD5
9802	Q15038
84867	P54829
64581	Q9BXN2
285672	Q8N9Q2
1488	P56545
6374	P42830
6602	Q96GM5
9911	O75069
5147	O43924
6850	P43405
79696	Q53FD0
22924	Q9UPY8
117178	Q9Y2D8
25898	Q96PM5
8848	Q15714
55006	Q9BVS5
25988	Q9BQA5
522	P18859
4712	O95139
57096	Q96KN7
386684	P60329
6628	P14678
6505	P43005
3488	P24593
51562	Q9NS73
55734	Q9NTW7
51257	Q9P0N8
3937	Q13094
5563	P54646
7159	Q13625
1656	P26196
5090	P40426
9586	Q02930
60626	Q9NPQ8
55964	Q9UH03
84984	Q96LK0
29979	Q9UMX0
6715	P18405
84838	Q96IT1
7335	Q13404
3561	P31785
5984	P35249
51068	Q96D46
7707	Q9UQR1
84140	Q3B820
9550	O75348
7325	Q96LR5
219854	A2RU14
5706	P62333
117144	Q8NEC5
27229	Q9UGJ1
10254	O75886
51540	Q96I15
81567	Q8NBS9
56478	Q9NRA8
5874	O00194
79088	Q9BUY5
148254	Q8NEP9
5702	P17980
5709	O43242
9604	Q9UBS8
10494	O00506
406	O00327
6629	P08579
9852	Q7L775
11201	Q9UNA4
79073	Q9BVC6
51185	Q96SW2
23484	O95214
57085	Q6RW13
283385	Q6PF18
92906	Q8WVV9
80332	Q9BZ11
3872	Q04695
23548	Q6PID6
64782	Q8WTP8
9093	Q96EY1
84460	Q5H9K5
85302	Q8TES7
51720	Q96RL1
5013	P32242
55906	Q9NQZ6
2139	O00167
399665	Q5T9C2
23421	Q13352
55885	Q8TAP4
336	P02652
266740	P43356
7695	P52737
5684	P25788
51330	Q9NP84
80131	Q6NSJ5
4223	P50222
9055	O43663
7316	P0CG48
10024	Q12815
4953	P11926
1454	P49674
1046	O14627
8576	O75716
6810	Q12846
123606	Q7RTP0
9500	Q9Y5V3
57159	Q9BYV2
339834	Q8IYA8
5763	P20962
93426	Q8N0S2
8636	O43805
79177	Q9H609
665	O60238
4920	Q01974
25913	Q9NUX5
83755	Q9BQ66
23658	Q9Y4Y9
3149	O15347
10256	Q969H4
54458	Q9NZ81
6999	P48775
284194	Q3B8N2
55388	Q7L590
1756	P11532
54585	Q9NQ48
56259	Q8WYA6
55143	Q53HL2
1641	O43602
51438	Q9UBF1
1610	P14920
8890	Q9UI10
767	P35219
7690	P52739
