yourlist:M20200716216DA2B77BFBD2E6699CA9B6D1C41EB2990B30P	Entry	Cross-reference (GeneID)	Entry name	Protein names	Length	Status	Sequence	isomap:M20200709A94466D2655679D1FD8953E075198DA81733E62
F5H7Y5	F5H7Y5		F5H7Y5_HUMAN	Deleted.				
E7HQL4	E7HQL4		E7HQL4_ECOLX	Deleted.				
C1NAQ6	C1NAQ6		C1NAQ6_9ESCH	Deleted.				
D3FPA5	D3FPA5		D3FPA5_CAMJI	Deleted.				
B1XE84	B1XE84		B1XE84_ECODH	Deleted.				
D1NID1	D1NID1		D1NID1_CLOTM	Deleted.				
D5YRR7	D5YRR7		D5YRR7_MYCTX	Deleted.				
Q2YVR9	Q2YVR9		Q2YVR9_STAAB	Deleted.				
B2P6Y0	B2P6Y0		B2P6Y0_ECO57	Deleted.				
B4AC35	B4AC35		B4AC35_SALNE	Deleted.				
A9Z7A5	A9Z7A5		A9Z7A5_YERPE	Deleted.				
B5YXG7	B5YXG7		B5YXG7_ECO5E	Deleted.				
B3HBV6	B3HBV6		B3HBV6_ECOLX	Deleted.				
B3HYN4	B3HYN4		B3HYN4_ECOLX	Deleted.				
B5MSH1	B5MSH1		B5MSH1_SALET	Deleted.				
A4KR29	A4KR29		A4KR29_FRATU	Deleted.				
E7K310	E7K310		E7K310_SHISO	Deleted.				
B9Y1V3	B9Y1V3		B9Y1V3_HELP8	Deleted.				
A8NN31	A8NN31		A8NN31_BRUMA	Deleted.				
B3IGM7	B3IGM7		B3IGM7_ECOLX	Deleted.				
D5YI18	D5YI18		D5YI18_MYCTX	Deleted.				
C2J9I2	C2J9I2		C2J9I2_VIBCL	Deleted.				
E2QZZ6	E2QZZ6		E2QZZ6_CANFA	Deleted.				
D2AMC8	D2AMC8		D2AMC8_FRATE	Deleted.				
A8KWB0	A8KWB0		A8KWB0_BURPE	Deleted.				
B3WNF0	B3WNF0		B3WNF0_ECOLX	Deleted.				
E8HL01	E8HL01		E8HL01_ECOLX	Deleted.				
B9XYT0	B9XYT0		B9XYT0_HELP8	Deleted.				
D5XUM4	D5XUM4		D5XUM4_MYCTX	Deleted.				
O53799	O53799		O53799_MYCBO	Deleted.				
C9JGC2	C9JGC2		C9JGC2_HUMAN	Deleted.				
A7YSZ1	A7YSZ1		A7YSZ1_FRATU	Deleted.				
E7EVR3	E7EVR3		E7EVR3_HUMAN	Deleted.				
A3ZJL2	A3ZJL2		A3ZJL2_CAMJU	Deleted.				
B2PBH3	B2PBH3		B2PBH3_ECO57	Deleted.				
B3ZED8	B3ZED8		B3ZED8_BACCE	Deleted.				
B2PI34	B2PI34		B2PI34_ECO57	Deleted.				
D1R0S6	D1R0S6		D1R0S6_STAAU	Deleted.				
E7M1J3	E7M1J3		E7M1J3_YEASV	Deleted.				
Q6G9Q9	Q6G9Q9		Q6G9Q9_STAAS	Deleted.				
A4KIP1	A4KIP1		A4KIP1_MYCTX	Deleted.				
C4ZQ83	C4ZQ83		C4ZQ83_ECOBW	Deleted.				
A2VKP7	A2VKP7		A2VKP7_MYCTX	Deleted.				
E7NEK9	E7NEK9		E7NEK9_YEASO	Deleted.				
